Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/order/grocery,90,0,28000.0,24998.44229668379,10029.11234460771,29003.832418471575,264.0,0.7493039576761485,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
POST,/order/restock,23,0,28000.0,24982.434290906658,10037.602169439197,28787.48212195933,264.0,0.19148878918390463,0.0,28000,28000,28000,28000,28000,28000,29000,29000,29000,29000,29000
,Aggregated,113,0,28000.0,24995.184030021188,10029.11234460771,29003.832418471575,264.0,0.9407927468600532,0.0,28000,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000
