Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/order/grocery,88,0,28000.0,26625.952032066627,16137.410322204232,30279.501224868,264.0,0.7383197978146704,0.0,28000,28000,28000,29000,29000,29000,30000,30000,30000,30000,30000
POST,/order/restock,22,0,28000.0,26652.947437483817,16164.036324247718,29285.432996228337,264.0,0.1845799494536676,0.0,28000,28000,29000,29000,29000,29000,29000,29000,29000,29000,29000
,Aggregated,110,0,28000.0,26631.351113150067,16137.410322204232,30279.501224868,264.0,0.922899747268338,0.0,28000,28000,28000,29000,29000,29000,30000,30000,30000,30000,30000
