Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/order/grocery,90,0,28000.0,25003.004882174235,10032.417070120573,28978.285549208522,264.0,0.7493384583844923,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
POST,/order/restock,23,0,28000.0,25021.709469754413,10033.110258169472,28945.5480100587,264.0,0.19149760603159247,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
,Aggregated,113,0,28000.0,25006.812010619757,10032.417070120573,28978.285549208522,264.0,0.9408360644160848,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
