Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/order/grocery,88,0,28000.0,24996.492753842507,10028.205886483192,29024.251622147858,264.0,0.7782071786251711,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
POST,/order/restock,22,0,28000.0,24874.16895153001,10031.478390097618,28699.31700732559,264.0,0.19455179465629277,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
,Aggregated,110,0,28000.0,24972.02799338001,10028.205886483192,29024.251622147858,264.0,0.9727589732814639,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
