Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/order/grocery,90,0,28000.0,25128.962204646734,10030.953530222178,28957.3937272653,264.0,0.7491694568226047,0.0,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000,29000
POST,/order/restock,23,0,28000.0,25118.042350463245,10037.914487533271,28897.095443680882,264.0,0.19145441674355454,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
,Aggregated,113,0,28000.0,25126.739579458943,10030.953530222178,28957.3937272653,264.0,0.9406238735661593,0.0,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000,29000
