Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/order/grocery,91,0,28000.0,25136.26737962221,10026.224279776216,28898.154402151704,264.0,0.7576340869126214,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
POST,/order/restock,22,0,28000.0,24983.80588867109,10027.972735464573,28735.043190419674,264.0,0.18316428474810625,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
,Aggregated,113,0,28000.0,25106.584611472434,10026.224279776216,28898.154402151704,264.0,0.9407983716607277,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
