Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/order/grocery,88,0,28000.0,25025.37417398046,10128.291151486337,29005.387667566538,264.0,0.7772204642027353,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
POST,/order/restock,22,0,28000.0,24930.886988358743,10129.257094115019,28636.19208522141,264.0,0.19430511605068382,0.0,28000,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000
,Aggregated,110,0,28000.0,25006.476736856115,10128.291151486337,29005.387667566538,264.0,0.9715255802534191,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
