Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/order/grocery,88,0,28000.0,24945.966355460274,10032.967382110655,28958.199265412986,264.0,0.7780557239533445,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
POST,/order/restock,22,0,28000.0,25098.678204654294,10038.509614765644,28870.337488129735,264.0,0.19451393098833614,0.0,28000,28000,29000,29000,29000,29000,29000,29000,29000,29000,29000
,Aggregated,110,0,28000.0,24976.508725299078,10032.967382110655,28958.199265412986,264.0,0.9725696549416807,0.0,28000,28000,28000,28000,29000,29000,29000,29000,29000,29000,29000
