Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/order/grocery,83,0,28000.0,26969.93130155985,12494.127850979567,33645.74175514281,264.0,0.7312937871360814,0.0,28000,28000,28000,29000,29000,33000,33000,34000,34000,34000,34000
POST,/order/restock,20,0,28000.0,26851.804483449087,12487.99891769886,32483.985296450555,264.0,0.1762153703942365,0.0,28000,28000,28000,28000,29000,32000,32000,32000,32000,32000,32000
,Aggregated,103,0,28000.0,26946.99405532475,12487.99891769886,33645.74175514281,264.0,0.9075091575303179,0.0,28000,28000,28000,28000,29000,32000,33000,33000,34000,34000,34000
